,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Research Development,4899000000.0,4926000000.0,5214000000.0,4887000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,18337000000.0,16124000000.0,13422000000.0,12843000000.0
Minority Interest,,,,
Net Income,15463000000.0,13893000000.0,11202000000.0,10752000000.0
Selling General Administrative,6086000000.0,5350000000.0,7073000000.0,6184000000.0
Gross Profit,28882000000.0,26152000000.0,25694000000.0,24046000000.0
Ebit,17897000000.0,15876000000.0,13407000000.0,12975000000.0
Operating Income,17897000000.0,15876000000.0,13407000000.0,12975000000.0
Other Operating Expenses,,,,
Interest Expense,-568000000.0,-585000000.0,-684000000.0,-615000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2874000000.0,2231000000.0,2220000000.0,2091000000.0
Total Revenue,43076000000.0,37154000000.0,38033000000.0,35021000000.0
Total Operating Expenses,25179000000.0,21278000000.0,24626000000.0,22046000000.0
Cost Of Revenue,14194000000.0,11002000000.0,12339000000.0,10975000000.0
Total Other Income Expense Net,440000000.0,248000000.0,15000000.0,-132000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,15463000000.0,13893000000.0,11202000000.0,10752000000.0
Net Income Applicable To Common Shares,15463000000.0,13893000000.0,11202000000.0,10752000000.0
